,#00,#01,#02,#03,#04,#05,#06,#07,#08,#09,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19
0002392255.txt,3.770739064874654e-05,0.999283559577674,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05,3.770739064874654e-05
0002391984.txt,0.00017793594306121478,0.9966192170818371,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478,0.00017793594306122668,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478,0.00017793594306121478
0002391990.txt,3.627130939460289e-05,0.9993108451215028,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05,3.627130939460289e-05
0002392241.txt,3.309066843178199e-05,0.9993712772997964,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05,3.309066843178199e-05
0002394383.txt,6.770480704188998e-05,0.9987136086662043,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05,6.770480704188998e-05
0002392094.txt,0.00010288065843678797,0.9980452674897008,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797,0.00010288065843678797
0002392057.txt,7.830853563092087e-05,0.9087334384879203,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05,0.08985700787072294,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05,7.830853563092087e-05
0002392043.txt,3.223726628008478e-05,0.7686680931705396,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05,0.23075163603641896,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05,3.223726628008478e-05
0002392123.txt,2.2537750732629526e-05,0.8089752153556526,0.14684550658384732,2.2537750732629526e-05,2.2537750732629526e-05,2.2537750732629526e-05,2.2537750732629526e-05,0.043796136298045546,2.2537750732629526e-05,2.2537750732629526e-05,2.2537750732629526e-05,2.2537750732629526e-05,2.2537750732629526e-05,2.2537750732629526e-05,2.2537750732629526e-05,2.2537750732629526e-05,2.2537750732629526e-05,2.2537750732629526e-05,2.2537750732629526e-05,2.2537750732629526e-05
0002392137.txt,3.562522265802549e-05,0.7232003341441943,3.562522265802549e-05,3.562522265802549e-05,3.562522265802549e-05,3.562522265802549e-05,3.562522265802549e-05,0.07234648935271662,3.562522265802549e-05,3.562522265802549e-05,3.562522265802549e-05,3.562522265802549e-05,3.562522265802549e-05,3.562522265802549e-05,3.562522265802549e-05,0.20384754771790298,3.562522265802549e-05,3.562522265802549e-05,3.562522265802549e-05,3.562522265802549e-05
